(1991001, 1997012, 1094.67),
(1991002, 1997003, 5785.30),
(1991003, 1997008, 374.19),
(1991004, 1997010, 1445.10),
(1991005, 1997004, 103.69),
(1991006, 1997005, 268.19),
(1991007, 1997012, 9103.31),
(1991008, 1997009, 642.79),
(1991009, 1997002, 2413.40),
(1991010, 1997004, 3056.18),
(1991011, 1997007, 1254.09),
(1991012, 1997010, 203.00),
(1991013, 1997011, 6478.93),
(1991014, 1997006, 481.52),
(1991015, 1997015, 150.00),
(1991016, 1997005, 3018.48),
(1991017, 1997007, 4702.89),
(1991018, 1997014, 371.04),
(1991019, 1997013, 743.96),
(1991020, 1997001, 831.49),
